FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(t),MainEngineDesigner,MainEngineModel,NumberOfEngines,ShipType
"SS 2019","Navis-1","JCS Okskaya Sudoverf","Marine Engineering Bureau","State Transport Leasing","Russia","29 May 2019","123.17m","11.1knots","9868730","4,982gt","7","8,594t","Diesel engine","6EY22AW","2","Mooring Launch"
"SS 2019","Nissos Rhenia","Hyundai Heavy Industries","Hyundai Heavy Industries","Kyklades","Greece","4 May 2019","332.995m","14.4knots at scantling draught (72.2%)","9845685","160,457gt","7","","Hyundai-WínGD","7X82-B","1","Tanker"
"SS 2019","Nord Yucatan","Nantong Xiangyu Shipbuilding &","Shanghai Merchant Ship Design &","Nisshin Shipping Co., Ltd","Japan","21 October 2019","199.90m","13.55knots","9856232","35906gt","1","75,276.6t","MAN","6G50ME-C9.5","1","Mooring Launch"
"SS 2019","Oleander","Jiangsu New Yangzi","Shanghai Merchant Ship Design &","Bermuda Container Line","United States","January 2019","120.0m","14.0knots (85%MCR 15%sea margin, with PTO)","9827334","8,313gt","nil","","MaK","9M32E","1","Container Ship"
"SS 2019","Orange Stream","Guangxin Shipbuilding & Heavy","Seatrade/GSHI/GSD","Seatrade","Netherlands","19 March 2019","115.1m","at","9795983","6,088gt","3","","MAN","MAN B&W 5S35ME-B9.5","YB648","Reefer"
"SS 2019","Prism Agility","Hyundai Heavy Industries","Hyundai Heavy Industries","SK Shipping","Republic of Korea","10 May 2019","298.97m","19.5knots","9810549","","2","","WinGD","5X72DF","2","Mooring Launch"
"SS 2019","Saga Dawn","China Merchants Heavy Industry","LNT Marine Pte. Ltd. in corporation with FKAB","Saga LNG Shipping Pte. Ltd","Singapore","November 2019","195,3m","16.5knots","9769855","32,158gt","Nil","45,958t","Dual fuel","W12V50DF","1","LNG Carrier"
"SS 2019","Samnøy","Tersa Tersanecilik AS","Multi Maritime AS","Torghatten Nord AS","Norway","13 February 2019","134m","17,5knots","9825817","","4","","","","","LNG Carrier"
"SS 2019","Sea Guaiba","Jiangsu New Times","Shanghai Merchant Ship Design &","POS Maritime JC S.A. / Pan","Republic of Korea","12 November 2019","339.90m","14.83knots 85% MCR with 15% sea margin","9844069","173,504gt","nil","371,066.7t","MAN B&W","7G80ME-C9.5-TII Low Load EGB","1","LNG Carrier"
"SS 2019","Seatrade Green","Yangfan Group Co., Ltd","Seatrade / Yangfan / SDARI","Seatrade","Netherlands","15 January 2019","185.0m","at CSR: 18.9knots","9810915","24,876gt","Nil","scantling: .............................. 26,573 at 10.0m","MAN","MAN B&W 6G60ME-C9.2","SB6G60-14519","Container Ship"
